% ground data set
@relation ground
@attribute H real
@attribute S real
@attribute V real
@attribute class {0, 1}
@data
0.280000, 0.563910, 0.521569, 0
0.909091, 0.088353, 0.976471, 1
0.458333, 0.117647, 0.133333, 1
0.270833, 0.470588, 0.333333, 0
0.458333, 0.105263, 0.149020, 1
0.401515, 0.366667, 0.235294, 1
0.272222, 0.416667, 0.282353, 0
0.000000, 0.476190, 0.247059, 1
0.266667, 0.520833, 0.376471, 0
0.666667, 0.058824, 0.133333, 1
0.271318, 0.511905, 0.329412, 0
0.233333, 0.156250, 0.125490, 1
0.041667, 0.521739, 0.270588, 0
0.266667, 0.533981, 0.403922, 0
0.388889, 0.146341, 0.160784, 1
0.223404, 0.602564, 0.305882, 0
0.214286, 0.285714, 0.192157, 1
0.199187, 0.546667, 0.294118, 1
0.533333, 0.142857, 0.137255, 1
0.257310, 0.553398, 0.403922, 0
0.253788, 0.505747, 0.341176, 0
0.388889, 0.146341, 0.160784, 1
0.262963, 0.511364, 0.345098, 0
0.366667, 0.161290, 0.121569, 1
0.611111, 0.083333, 0.141176, 0
0.194444, 0.545455, 0.301961, 0
0.287879, 0.224490, 0.192157, 1
0.633333, 0.131579, 0.149020, 1
0.365079, 0.362069, 0.227451, 1
0.861111, 0.049587, 0.949020, 1
0.256410, 0.400000, 0.254902, 1
0.275362, 0.410714, 0.219608, 1
0.687500, 0.190476, 0.164706, 1
0.371795, 0.260000, 0.196078, 1
0.500000, 0.521569, 1.000000, 1
0.195652, 0.403509, 0.223529, 0
0.171875, 0.421053, 0.298039, 1
0.263158, 0.535211, 0.278431, 0
0.552632, 0.345455, 0.215686, 1
0.245614, 0.345455, 0.215686, 1
0.181818, 0.338462, 0.254902, 0
